id,last_name,first_name,last_name_kana,first_name_kana,birth_date,enrollment_date,withdrawal_date,status,classroom_id,family_id,home_address,home_phone,older_sibling_id,extra_data,created_at,updated_at
5,高橋,湊,タカハシ,ミナト,2025-06-10,2026-04-01,,enrolled,1,15,東京都サンプル区青葉台7-10-115,03-0000-0015,24,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
64,田中,葵,タナカ,アオイ,2021-05-10,2025-04-01,,enrolled,5,16,東京都サンプル区中央8-1-116,03-0000-0016,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
6,田中,蒼,タナカ,ソウ,2025-08-01,2026-04-01,,enrolled,1,16,東京都サンプル区中央8-1-116,03-0000-0016,64,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
11,中村,花音,ナカムラ,カノン,2024-12-19,2026-04-01,,enrolled,2,17,東京都サンプル区南町9-4-117,03-0000-0017,,"{""allergy"":[""魚卵""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
12,橋本,一花,ハシモト,イチカ,2025-01-09,2026-04-01,,enrolled,2,18,東京都サンプル区北町1-7-118,03-0000-0018,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
13,林,律,ハヤシ,リツ,2024-11-03,2026-04-01,,enrolled,2,19,東京都サンプル区架空町2-10-119,03-0000-0019,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
14,藤井,碧,フジイ,アオ,2024-08-08,2026-04-01,,enrolled,2,20,東京都サンプル区若葉町3-1-120,03-0000-0020,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
15,松本,結菜,マツモト,ユイナ,2024-06-08,2026-04-01,,enrolled,2,21,東京都サンプル区青葉台4-4-121,03-0000-0021,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
16,三浦,美咲,ミウラ,ミサキ,2024-05-15,2026-04-01,,enrolled,2,22,東京都サンプル区中央5-7-122,03-0000-0022,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
17,森,咲良,モリ,サクラ,2024-09-21,2026-04-01,,enrolled,2,23,東京都サンプル区南町6-10-123,03-0000-0023,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
18,山口,琴音,ヤマグチ,コトネ,2024-08-06,2026-04-01,,enrolled,2,24,東京都サンプル区北町7-1-124,03-0000-0024,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
25,山田,湊,ヤマダ,ミナト,2023-04-10,2025-04-01,,enrolled,3,25,東京都サンプル区架空町8-4-125,03-0000-0025,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
26,吉田,蒼,ヨシダ,ソウ,2023-08-03,2025-04-01,,enrolled,3,26,東京都サンプル区若葉町9-7-126,03-0000-0026,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
27,渡辺,樹,ワタナベ,イツキ,2023-09-23,2025-04-01,,enrolled,3,27,東京都サンプル区青葉台1-10-127,03-0000-0027,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
28,長谷川,莉子,ハセガワ,リコ,2023-07-16,2025-04-01,,enrolled,3,28,東京都サンプル区中央2-1-128,03-0000-0028,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
29,近藤,結月,コンドウ,ユヅキ,2024-02-22,2025-04-01,,enrolled,3,29,東京都サンプル区南町3-4-129,03-0000-0029,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
30,村上,颯太,ムラカミ,ソウタ,2024-03-10,2025-04-01,,enrolled,3,30,東京都サンプル区北町4-7-130,03-0000-0030,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
31,青木,新,アオキ,アラタ,2023-11-19,2025-04-01,,enrolled,3,31,東京都サンプル区架空町5-10-131,03-0000-0031,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
32,石井,陽菜,イシイ,ヒナ,2023-10-14,2025-04-01,,enrolled,3,32,東京都サンプル区若葉町6-1-132,03-0000-0032,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
33,井上,葵,イノウエ,アオイ,2023-06-01,2025-04-01,,enrolled,3,33,東京都サンプル区青葉台7-4-133,03-0000-0033,,"{""allergy"":[""くるみ""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
34,遠藤,凛,エンドウ,リン,2023-05-10,2025-04-01,,enrolled,3,34,東京都サンプル区中央8-7-134,03-0000-0034,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
35,岡田,紬,オカダ,ツムギ,2023-12-24,2025-04-01,,enrolled,3,35,東京都サンプル区南町9-10-135,03-0000-0035,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
36,小川,悠真,オガワ,ユウマ,2023-06-25,2025-04-01,,enrolled,3,36,東京都サンプル区北町1-1-136,03-0000-0036,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
43,加藤,咲良,カトウ,サクラ,2023-01-29,2024-04-01,,enrolled,4,37,東京都サンプル区架空町2-4-137,03-0000-0037,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
44,木村,琴音,キムラ,コトネ,2023-03-24,2024-04-01,,enrolled,4,38,東京都サンプル区若葉町3-7-138,03-0000-0038,,"{""allergy"":[""小麦""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
45,小林,陽翔,コバヤシ,ハルト,2022-10-05,2024-04-01,,enrolled,4,39,東京都サンプル区青葉台4-10-139,03-0000-0039,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
46,斎藤,蓮,サイトウ,レン,2022-04-27,2024-04-01,,enrolled,4,40,東京都サンプル区中央5-1-140,03-0000-0040,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
47,佐々木,大和,ササキ,ヤマト,2022-08-13,2024-04-01,,enrolled,4,41,東京都サンプル区南町6-4-141,03-0000-0041,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
48,佐藤,朝陽,サトウ,アサヒ,2023-02-25,2024-04-01,,enrolled,4,42,東京都サンプル区北町7-7-142,03-0000-0042,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
49,清水,花音,シミズ,カノン,2022-12-12,2024-04-01,,enrolled,4,43,東京都サンプル区架空町8-10-143,03-0000-0043,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
50,鈴木,一花,スズキ,イチカ,2022-12-21,2024-04-01,,enrolled,4,44,東京都サンプル区若葉町9-1-144,03-0000-0044,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
51,高橋,律,タカハシ,リツ,2022-11-24,2024-04-01,,enrolled,4,45,東京都サンプル区青葉台1-4-145,03-0000-0045,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
52,田中,碧,タナカ,アオ,2023-01-21,2024-04-01,,enrolled,4,46,東京都サンプル区中央2-7-146,03-0000-0046,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
53,中村,結菜,ナカムラ,ユイナ,2022-10-12,2024-04-01,,enrolled,4,47,東京都サンプル区南町3-10-147,03-0000-0047,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
54,橋本,美咲,ハシモト,ミサキ,2022-10-14,2024-04-01,,enrolled,4,48,東京都サンプル区北町4-1-148,03-0000-0048,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
55,林,咲良,ハヤシ,サクラ,2023-02-10,2024-04-01,,enrolled,4,49,東京都サンプル区架空町5-4-149,03-0000-0049,,"{""allergy"":[""乳""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
56,藤井,琴音,フジイ,コトネ,2022-05-19,2024-04-01,,enrolled,4,50,東京都サンプル区若葉町6-7-150,03-0000-0050,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
57,松本,陽翔,マツモト,ハルト,2022-08-28,2024-04-01,,enrolled,4,51,東京都サンプル区青葉台7-10-151,03-0000-0051,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
58,三浦,蓮,ミウラ,レン,2022-08-10,2024-04-01,,enrolled,4,52,東京都サンプル区中央8-1-152,03-0000-0052,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
65,森,凛,モリ,リン,2022-03-21,2025-04-01,,enrolled,5,53,東京都サンプル区南町9-4-153,03-0000-0053,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
66,山口,紬,ヤマグチ,ツムギ,2021-10-17,2025-04-01,,enrolled,5,54,東京都サンプル区北町1-7-154,03-0000-0054,,"{""allergy"":[""卵""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
67,山田,悠真,ヤマダ,ユウマ,2021-07-17,2025-04-01,,enrolled,5,55,東京都サンプル区架空町2-10-155,03-0000-0055,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
68,吉田,湊,ヨシダ,ミナト,2021-10-28,2025-04-01,,enrolled,5,56,東京都サンプル区若葉町3-1-156,03-0000-0056,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
69,渡辺,蒼,ワタナベ,ソウ,2021-08-18,2025-04-01,,enrolled,5,57,東京都サンプル区青葉台4-4-157,03-0000-0057,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
70,長谷川,樹,ハセガワ,イツキ,2022-03-02,2025-04-01,,enrolled,5,58,東京都サンプル区中央5-7-158,03-0000-0058,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
71,近藤,莉子,コンドウ,リコ,2021-07-03,2025-04-01,,enrolled,5,59,東京都サンプル区南町6-10-159,03-0000-0059,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
72,村上,結月,ムラカミ,ユヅキ,2021-12-12,2025-04-01,,enrolled,5,60,東京都サンプル区北町7-1-160,03-0000-0060,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
73,青木,颯太,アオキ,ソウタ,2021-04-27,2025-04-01,,enrolled,5,61,東京都サンプル区架空町8-4-161,03-0000-0061,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
74,石井,新,イシイ,アラタ,2021-12-10,2025-04-01,,enrolled,5,62,東京都サンプル区若葉町9-7-162,03-0000-0062,,"{""allergy"":[],""medical_notes"":""熱性けいれん既往。発熱時は保護者へ早めに連絡。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
75,井上,陽菜,イノウエ,ヒナ,2021-11-24,2025-04-01,,enrolled,5,63,東京都サンプル区青葉台1-10-163,03-0000-0063,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
76,遠藤,葵,エンドウ,アオイ,2021-06-22,2025-04-01,,enrolled,5,64,東京都サンプル区中央2-1-164,03-0000-0064,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
77,岡田,凛,オカダ,リン,2022-01-27,2025-04-01,,enrolled,5,65,東京都サンプル区南町3-4-165,03-0000-0065,,"{""allergy"":[""魚卵""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
78,小川,紬,オガワ,ツムギ,2021-12-31,2025-04-01,,enrolled,5,66,東京都サンプル区北町4-7-166,03-0000-0066,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
79,加藤,悠真,カトウ,ユウマ,2021-07-05,2025-04-01,,enrolled,5,67,東京都サンプル区架空町5-10-167,03-0000-0067,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
80,木村,湊,キムラ,ミナト,2021-09-24,2025-04-01,,enrolled,5,68,東京都サンプル区若葉町6-1-168,03-0000-0068,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
85,小林,碧,コバヤシ,アオ,2020-08-26,2024-04-01,,enrolled,6,69,東京都サンプル区青葉台7-4-169,03-0000-0069,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
86,斎藤,結菜,サイトウ,ユイナ,2020-09-17,2024-04-01,,enrolled,6,70,東京都サンプル区中央8-7-170,03-0000-0070,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
87,佐々木,美咲,ササキ,ミサキ,2020-12-27,2024-04-01,,enrolled,6,71,東京都サンプル区南町9-10-171,03-0000-0071,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
88,佐藤,咲良,サトウ,サクラ,2021-02-07,2024-04-01,,enrolled,6,72,東京都サンプル区北町1-1-172,03-0000-0072,,"{""allergy"":[""キウイ""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
89,清水,琴音,シミズ,コトネ,2020-09-05,2024-04-01,,enrolled,6,73,東京都サンプル区架空町2-4-173,03-0000-0073,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
90,鈴木,陽翔,スズキ,ハルト,2021-01-16,2024-04-01,,enrolled,6,74,東京都サンプル区若葉町3-7-174,03-0000-0074,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
91,高橋,蓮,タカハシ,レン,2020-12-06,2024-04-01,,enrolled,6,75,東京都サンプル区青葉台4-10-175,03-0000-0075,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
92,田中,大和,タナカ,ヤマト,2020-06-02,2024-04-01,,enrolled,6,76,東京都サンプル区中央5-1-176,03-0000-0076,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
93,中村,朝陽,ナカムラ,アサヒ,2020-05-16,2024-04-01,,enrolled,6,77,東京都サンプル区南町6-4-177,03-0000-0077,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
94,橋本,花音,ハシモト,カノン,2020-09-11,2024-04-01,,enrolled,6,78,東京都サンプル区北町7-7-178,03-0000-0078,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
95,林,一花,ハヤシ,イチカ,2020-12-07,2024-04-01,,enrolled,6,79,東京都サンプル区架空町8-10-179,03-0000-0079,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
96,藤井,律,フジイ,リツ,2020-11-15,2024-04-01,,enrolled,6,80,東京都サンプル区若葉町9-1-180,03-0000-0080,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
97,松本,碧,マツモト,アオ,2020-11-20,2024-04-01,,enrolled,6,81,東京都サンプル区青葉台1-4-181,03-0000-0081,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
98,三浦,結菜,ミウラ,ユイナ,2020-12-16,2024-04-01,,enrolled,6,82,東京都サンプル区中央2-7-182,03-0000-0082,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
99,森,美咲,モリ,ミサキ,2021-01-18,2024-04-01,,enrolled,6,83,東京都サンプル区南町3-10-183,03-0000-0083,,"{""allergy"":[""くるみ""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
100,山口,咲良,ヤマグチ,サクラ,2021-02-11,2024-04-01,,enrolled,6,84,東京都サンプル区北町4-1-184,03-0000-0084,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
